gender,study_hours,attendance,sleep_hours,parental_education,internet,extra_act,pt_job,p_grade,F_score,final_grade
Male,4,98,6.5,Bachelors,Yes,Yes,No,76.9,100,A
Female,6.3,100,5.7,High School,Yes,Yes,Yes,75.5,100,A
Male,4.9,85.3,7.9,Bachelors,Yes,No,Yes,88.5,97.3,A
Male,2.6,77.5,8,None,Yes,Yes,No,85.1,83.8,B
Male,2.2,89.6,4.6,Bachelors,Yes,No,Yes,61.8,68.3,D
Female,4.2,78.2,5.7,High School,Yes,No,No,79.8,81.6,B
Male,1.5,100,5,High School,Yes,Yes,Yes,58.6,69.6,D
Male,6.2,86.4,6,High School,Yes,Yes,No,78.4,88,B
Male,5.3,81.3,6.7,Bachelors,Yes,No,No,63.8,84.4,B
Female,2.8,86.8,5.1,Bachelors,Yes,Yes,No,57.7,74.3,C
Male,0.9,71.5,5.7,High School,Yes,No,Yes,73.4,68.9,D
Male,5.5,75.3,5.6,None,Yes,Yes,No,37.9,76.7,C
Male,3.3,97,7,Masters,Yes,Yes,Yes,49,82.6,B
Male,5.4,78.4,6.9,Bachelors,No,No,No,67.9,93.3,A
Female,1.1,74.5,5.9,Masters,Yes,Yes,Yes,71,73.9,C
Male,2.6,90.4,7,High School,Yes,Yes,No,65.6,84.8,B
Female,3.5,96.9,6.1,Bachelors,Yes,Yes,No,51,81.5,B
Female,3.6,92.2,6.5,Bachelors,Yes,Yes,Yes,60.2,75.5,C
Female,2.8,95,8.8,Masters,No,Yes,No,74.7,89.7,B
Male,4.4,77.4,8.4,Masters,No,No,Yes,77,92.8,A
Female,1.9,70.8,5.2,High School,Yes,Yes,No,69.8,73.5,C
Male,3.3,100,7.8,None,Yes,Yes,No,83.9,100,A
Female,3.7,81.8,7.8,High School,No,No,No,74.8,73.4,C
Female,4.3,82.5,5.4,PhD,No,Yes,No,61,71.2,C
Female,4.6,98.3,7.8,None,Yes,Yes,Yes,66.6,97.2,A
Female,1.8,90.6,8.6,High School,Yes,No,No,53.2,76,C
Female,1.2,89.6,5.5,Masters,Yes,No,Yes,68.7,78.7,C
Female,5.4,100,5.7,High School,No,No,No,83.3,97.4,A
Female,4,78.6,8,Bachelors,Yes,No,No,78.2,84.2,B
Female,2.4,94.3,7.1,Bachelors,Yes,Yes,No,86.8,89.8,B
Male,5.8,85.6,7.5,Bachelors,Yes,No,Yes,66.4,82.4,B
Male,3.7,87.7,7.2,None,Yes,Yes,No,86.2,87.7,B
Female,5.3,100,7.3,Masters,Yes,Yes,No,67.7,100,A
Female,3.6,90.1,5.2,Bachelors,No,Yes,No,87.7,93.3,A
Female,6.6,90.4,8.1,Masters,Yes,Yes,Yes,69.7,100,A
Male,6.1,95.7,8.2,None,Yes,Yes,Yes,78.5,92.9,A
Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7,83.2,B
Male,5,76.6,6.7,None,Yes,Yes,No,67.7,81.1,B
Male,4.5,74.6,5,High School,Yes,Yes,Yes,72.6,89.5,B
Male,5.6,65.3,7.4,Masters,Yes,Yes,No,85.5,91.6,A
Male,2.1,100,7.5,High School,Yes,Yes,Yes,68.4,75.3,C
Male,4.5,74,6.7,High School,Yes,No,No,54.1,79,C
Female,5.1,82.8,8.1,Bachelors,Yes,Yes,No,95.7,100,A
Female,0.9,82.2,6.4,Bachelors,Yes,Yes,No,64.4,79.2,C
Female,1.7,88.1,7.5,Bachelors,No,Yes,No,71.9,70.8,C
Female,0.5,93.2,5.6,High School,No,No,Yes,83.9,61.8,D
Female,3.1,93.6,6.8,Bachelors,Yes,Yes,Yes,62.7,68,D
Male,4.6,79.2,6.6,None,Yes,Yes,Yes,57.9,80.3,B
Female,5.8,83.3,7.1,Bachelors,No,Yes,No,73,88.6,B
Female,3.6,87.8,6.4,High School,Yes,Yes,No,48.5,69.4,D
Male,5.9,82.5,6.6,Bachelors,Yes,Yes,No,66.5,100,A
Female,1.4,100,7.8,High School,No,No,No,72.9,81.8,B
Male,0.9,89.9,6.3,Masters,Yes,No,No,66.8,72.6,C
Female,3.4,92.3,4.9,Masters,Yes,No,No,51.5,85.3,B
Male,4.1,91.6,8.9,Bachelors,No,Yes,No,89.1,99.8,A
Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2,84.3,B
Female,0.5,86.8,5.2,Masters,Yes,Yes,No,87.2,71.5,C
Male,3.4,72,7.6,Bachelors,Yes,No,No,66.9,84.3,B
Male,1.5,89,6.2,Masters,Yes,No,No,59.4,74.5,C
Male,4.5,78.5,7.1,Bachelors,Yes,No,No,73.2,89.5,B
Male,4,79.7,7.2,Masters,Yes,Yes,No,67.4,80.4,B
Male,2.1,90.9,6.5,Bachelors,No,Yes,Yes,55.9,71.1,C
Male,2.7,97.4,5.9,Bachelors,Yes,Yes,No,87.6,87.8,B
Male,1.9,85.2,6,None,Yes,No,No,62.5,73,C
Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9,80.8,B
Female,4.9,100,5.8,Bachelors,Yes,No,No,85.9,97.4,A
Female,2,87.4,6.7,High School,Yes,Yes,No,63.9,67.8,D
Male,4.3,100,5.9,Bachelors,No,Yes,No,62.7,79.2,C
Female,2.7,90.7,7.6,Bachelors,No,No,Yes,48.8,73.5,C
Female,2.3,67.4,8.6,High School,Yes,No,No,90.9,85.1,B
Female,3.3,92.5,6.1,High School,Yes,Yes,No,54.5,79.6,C
Female,1.9,88.8,7.1,Bachelors,Yes,Yes,No,70.7,77.4,C
Male,2.7,97.9,7.4,Masters,Yes,Yes,No,81,94.6,A
Female,1.7,91.7,7.4,Bachelors,Yes,Yes,No,75.1,77.6,C
Male,6.4,83.6,6.9,High School,Yes,Yes,No,69.3,99.9,A
Female,3.6,72.8,7.7,Masters,No,No,No,49.6,64.4,D
Female,2.5,82.9,7.4,High School,Yes,Yes,No,60.3,71.9,C
Female,3.8,76.5,5.3,Bachelors,Yes,Yes,No,72.3,79.3,C
Male,3.3,79.2,7.8,High School,Yes,Yes,Yes,60.6,74.9,C
Female,3.2,90.9,7.9,High School,Yes,No,No,72.4,87.4,B
Male,4.4,100,5.9,High School,Yes,No,No,78.2,97.6,A
Female,4.6,88.9,6.8,Bachelors,Yes,Yes,No,81.6,74.5,C
